,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Metascore,Votes,Gross collection,Description,Certificate
0,The Shawshank Redemption,1994,142 min,Drama            ,9.3,81,"2,597,310",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",R
1,The Godfather,1972,175 min,"Crime, Drama            ",9.2,100,"1,792,660",$134.97M,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,R
2,The Dark Knight,2008,152 min,"Action, Crime, Drama            ",9.0,84,"2,568,445",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",PG-13
3,The Lord of the Rings: The Return of the King,2003,201 min,"Action, Adventure, Drama            ",9.0,94,"1,784,145",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,PG-13
4,Schindler's List,1993,195 min,"Biography, Drama, History            ",9.0,94,"1,321,197",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",R
5,The Godfather Part II,1974,202 min,"Crime, Drama            ",9.0,90,"1,235,977",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",R
6,12 Angry Men,1957,96 min,"Crime, Drama            ",9.0,96,"767,354",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Approved
7,Jai Bhim,2021,164 min,"Crime, Drama, Mystery            ",8.9,None,"190,310",None,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",TV-MA
8,Pulp Fiction,1994,154 min,"Crime, Drama            ",8.9,94,"1,991,244",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",R
9,Inception,2010,148 min,"Action, Adventure, Sci-Fi            ",8.8,74,"2,279,040",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",PG-13
10,The Lord of the Rings: The Two Towers,2002,179 min,"Action, Adventure, Drama            ",8.8,87,"1,611,346",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",PG-13
11,Fight Club,1999,139 min,Drama            ,8.8,66,"2,045,334",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,R
12,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama            ",8.8,92,"1,805,251",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,PG-13
13,Forrest Gump,1994,142 min,"Drama, Romance            ",8.8,82,"2,006,022",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",PG-13
14,"The Good, the Bad and the Ugly",1966,178 min,"Adventure, Western            ",8.8,90,"745,130",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,R
15,Soorarai Pottru,2020,153 min,Drama            ,8.7,None,"110,714",None,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",TV-MA
16,The Matrix,1999,136 min,"Action, Sci-Fi            ",8.7,73,"1,865,224",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",R
17,Goodfellas,1990,145 min,"Biography, Crime, Drama            ",8.7,90,"1,122,900",$46.84M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",R
18,Star Wars: Episode V - The Empire Strikes Back,1980,124 min,"Action, Adventure, Fantasy            ",8.7,82,"1,256,560",$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",PG
19,One Flew Over the Cuckoo's Nest,1975,133 min,Drama            ,8.7,84,"986,483",$112.00M,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",R
20,Top Gun: Maverick,2022,130 min,"Action, Drama            ",8.6,78,"146,883",#42,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",PG-13
21,K.G.F: Chapter 2,2022,168 min,"Action, Crime, Drama            ",8.6,None,"106,222",None,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Not Rated
22,Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi            ",8.6,74,"1,739,779",$188.02M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,PG-13
23,City of God,2002,130 min,"Crime, Drama            ",8.6,79,"743,212",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",R
24,Spirited Away,2001,125 min,"Animation, Adventure, Family            ",8.6,96,"736,026",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",PG
25,Saving Private Ryan,1998,169 min,"Drama, War            ",8.6,91,"1,352,256",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",R
26,The Green Mile,1999,189 min,"Crime, Drama, Fantasy            ",8.6,61,"1,262,651",$136.80M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",R
27,Life Is Beautiful,1997,116 min,"Comedy, Drama, Romance            ",8.6,59,"678,793",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",PG-13
28,Se7en,1995,127 min,"Crime, Drama, Mystery            ",8.6,65,"1,594,265",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",R
29,Terminator 2: Judgment Day,1991,137 min,"Action, Sci-Fi            ",8.6,75,"1,071,886",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",R
30,The Silence of the Lambs,1991,118 min,"Crime, Drama, Thriller            ",8.6,85,"1,390,598",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",R
31,Star Wars,1977,121 min,"Action, Adventure, Fantasy            ",8.6,90,"1,328,466",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",PG
32,Hara-Kiri,1962,133 min,"Action, Drama, Mystery            ",8.6,85,"54,396",#47,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Not Rated
33,Seven Samurai,1954,207 min,"Action, Drama            ",8.6,98,"340,158",$0.27M,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Not Rated
34,It's a Wonderful Life,1946,130 min,"Drama, Family, Fantasy            ",8.6,89,"446,390",#21,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,PG
35,Asuran,2019,141 min,"Action, Drama            ",8.5,None,"26,700",None,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.",Not Rated
36,Parasite,2019,132 min,"Comedy, Drama, Thriller            ",8.5,96,"750,023",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,R
37,Whiplash,2014,106 min,"Drama, Music            ",8.5,88,"814,084",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,R
38,The Intouchables,2011,112 min,"Biography, Comedy, Drama            ",8.5,57,"834,898",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",R
39,Sardar Udham,2021,164 min,"Biography, Crime, Drama            ",8.5,None,"39,709",None,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,TV-MA
40,The Prestige,2006,130 min,"Drama, Mystery, Sci-Fi            ",8.5,66,"1,298,232",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",PG-13
41,The Departed,2006,151 min,"Crime, Drama, Thriller            ",8.5,85,"1,291,060",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,R
42,The Pianist,2002,150 min,"Biography, Drama, Music            ",8.5,85,"808,301",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,R
43,Gladiator,2000,155 min,"Action, Adventure, Drama            ",8.5,67,"1,459,530",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,R
44,American History X,1998,119 min,"Crime, Drama            ",8.5,62,"1,099,516",$6.72M,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,R
45,The Usual Suspects,1995,106 min,"Crime, Drama, Mystery            ",8.5,77,"1,063,816",$23.34M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",R
46,Léon: The Professional,1994,110 min,"Action, Crime, Drama            ",8.5,64,"1,130,627",$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",R
47,The Lion King,1994,88 min,"Animation, Adventure, Drama            ",8.5,88,"1,028,717",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",G
48,Cinema Paradiso,1988,155 min,"Drama, Romance            ",8.5,80,"255,568",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,R
49,Grave of the Fireflies,1988,89 min,"Animation, Drama, War            ",8.5,94,"268,268",#49,A young boy and his little sister struggle to survive in Japan during World War II.,Not Rated
50,Back to the Future,1985,116 min,"Adventure, Comedy, Sci-Fi            ",8.5,87,"1,165,768",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",PG
51,Apocalypse Now,1979,147 min,"Drama, Mystery, War            ",8.5,94,"653,286",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,R
52,Alien,1979,117 min,"Horror, Sci-Fi            ",8.5,89,"857,119",$78.90M,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,R
53,Once Upon a Time in the West,1968,165 min,Western            ,8.5,80,"324,171",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,PG-13
54,Psycho,1960,109 min,"Horror, Mystery, Thriller            ",8.5,97,"655,591",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",R
55,Rear Window,1954,112 min,"Mystery, Thriller            ",8.5,100,"482,036",$36.76M,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",PG
56,Casablanca,1942,102 min,"Drama, Romance, War            ",8.5,100,"561,141",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,PG
57,Modern Times,1936,87 min,"Comedy, Drama, Romance            ",8.5,96,"238,132",$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,G
58,City Lights,1931,87 min,"Comedy, Drama, Romance            ",8.5,99,"182,126",$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",G
59,Hamilton,2020,160 min,"Biography, Drama, History            ",8.4,90,"88,293",#114,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",PG-13
60,Capernaum,2018,126 min,Drama            ,8.4,75,"85,415",$1.66M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",R
61,Joker,I 2019,122 min,"Crime, Drama, Thriller            ",8.4,59,"1,201,481",$335.45M,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,R
62,96,II 2018,158 min,"Drama, Romance            ",8.4,None,"28,870",None,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,Not Rated
63,Your Name.,2016,106 min,"Animation, Drama, Fantasy            ",8.4,79,"252,990",$5.02M,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",PG
64,Spider-Man: Into the Spider-Verse,2018,117 min,"Animation, Action, Adventure            ",8.4,87,"495,090",$190.24M,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",PG
65,Avengers: Endgame,2019,181 min,"Action, Adventure, Drama            ",8.4,78,"1,062,019",$858.37M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",PG-13
66,Avengers: Infinity War,2018,149 min,"Action, Adventure, Sci-Fi            ",8.4,68,"1,022,533",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,PG-13
67,Coco,I 2017,105 min,"Animation, Adventure, Comedy            ",8.4,81,"480,771",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",PG
68,Django Unchained,2012,165 min,"Drama, Western            ",8.4,81,"1,501,620",$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",R
69,The Dark Knight Rises,2012,164 min,"Action, Drama            ",8.4,78,"1,658,953",$448.14M,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",PG-13
70,Drishyam 2,2021,152 min,"Crime, Drama, Thriller            ",8.4,None,"35,094",None,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,152 min
71,3 Idiots,2009,170 min,"Comedy, Drama            ",8.4,67,"387,892",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",PG-13
72,Shershaah,2021,135 min,"Action, Biography, Drama            ",8.4,None,"117,457",None,"The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999.",TV-14
73,WALL·E,2008,98 min,"Animation, Adventure, Family            ",8.4,95,"1,087,884",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",G
74,The Lives of Others,2006,137 min,"Drama, Mystery, Thriller            ",8.4,89,"384,235",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",R
75,Oldboy,2003,120 min,"Action, Drama, Mystery            ",8.4,77,"564,109",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",R
76,Memento,2000,113 min,"Mystery, Thriller            ",8.4,80,"1,210,702",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.,R
77,American Beauty,1999,122 min,Drama            ,8.4,84,"1,134,483",$130.10M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,R
78,Princess Mononoke,1997,134 min,"Animation, Adventure, Fantasy            ",8.4,76,"383,774",$2.38M,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",PG-13
79,Braveheart,1995,178 min,"Biography, Drama, History            ",8.4,68,"1,019,587",$75.60M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,R
80,Come and See,1985,142 min,"Drama, Thriller, War            ",8.4,None,"75,644",#102,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Not Rated
81,Aliens,1986,137 min,"Action, Adventure, Sci-Fi            ",8.4,84,"701,783",$85.16M,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",R
82,Amadeus,1984,160 min,"Biography, Drama, Music            ",8.4,88,"394,614",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",R
83,Indiana Jones and the Raiders of the Lost Ark,1981,115 min,"Action, Adventure            ",8.4,85,"946,339",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",PG
84,The Boat,1981,149 min,"Drama, War            ",8.4,86,"247,680",$11.49M,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",R
85,The Shining,1980,146 min,"Drama, Horror            ",8.4,66,"989,320",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",R
86,High and Low,1963,143 min,"Crime, Drama, Mystery            ",8.4,90,"43,193",#92,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Not Rated
87,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,"Comedy, War            ",8.4,97,"481,729",$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",PG
88,Witness for the Prosecution,1957,116 min,"Crime, Drama, Mystery            ",8.4,None,"122,623",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Approved
89,Paths of Glory,1957,88 min,"Drama, War            ",8.4,90,"194,024",#61,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Approved
90,Sunset Blvd.,1950,110 min,"Drama, Film-Noir            ",8.4,None,"218,290",#60,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Passed
91,The Great Dictator,1940,125 min,"Comedy, Drama, War            ",8.4,None,"220,786",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,G
92,Raatchasan,2018,170 min,"Crime, Drama, Mystery            ",8.3,None,"39,787",None,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Not Rated
93,Everything Everywhere All at Once,2022,139 min,"Action, Adventure, Comedy            ",8.3,81,"108,765",#128,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.",R
94,Ayla: The Daughter of War,2017,125 min,"Biography, Drama, History            ",8.3,None,"39,052",None,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",125 min
95,Dangal,2016,161 min,"Action, Biography, Drama            ",8.3,None,"184,011",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Not Rated
96,Drishyam,2013,160 min,"Crime, Drama, Thriller            ",8.3,None,"40,526",None,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Not Rated
97,The Hunt,2012,115 min,Drama            ,8.3,77,"321,109",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",R
98,A Separation,2011,123 min,Drama            ,8.3,95,"241,982",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,PG-13
99,Incendies,2010,131 min,"Drama, Mystery            ",8.3,80,"172,932",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,R
100,Spider-Man: No Way Home,2021,148 min,"Action, Adventure, Fantasy            ",8.3,71,"652,596",$804.75M,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",PG-13
101,Up,2009,96 min,"Animation, Adventure, Comedy            ",8.3,88,"1,017,676",$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",PG
102,Like Stars on Earth,2007,165 min,"Drama, Family            ",8.3,None,"189,272",$1.22M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",PG
103,Toy Story 3,2010,103 min,"Animation, Adventure, Comedy            ",8.3,92,"816,706",$415.00M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",G
104,Inglourious Basterds,2009,153 min,"Adventure, Drama, War            ",8.3,69,"1,400,423",$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",R
105,Eternal Sunshine of the Spotless Mind,2004,108 min,"Drama, Romance, Sci-Fi            ",8.3,89,"984,293",$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",R
106,Amélie,2001,122 min,"Comedy, Romance            ",8.3,69,"745,175",$33.23M,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",R
107,Snatch,2000,102 min,"Comedy, Crime            ",8.3,55,"839,002",$30.33M,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",R
108,Requiem for a Dream,2000,102 min,Drama            ,8.3,68,"823,715",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,R
109,Good Will Hunting,1997,126 min,"Drama, Romance            ",8.3,70,"941,280",$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",R
110,Toy Story,1995,81 min,"Animation, Adventure, Comedy            ",8.3,95,"967,512",$191.80M,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,G
111,Heat,1995,170 min,"Action, Crime, Drama            ",8.3,76,"636,576",$67.44M,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,R
112,Reservoir Dogs,1992,99 min,"Crime, Drama, Thriller            ",8.3,79,"993,670",$2.83M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",R
113,Full Metal Jacket,1987,116 min,"Drama, War            ",8.3,76,"726,678",$46.36M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,R
114,Once Upon a Time in America,1984,229 min,"Crime, Drama            ",8.3,75,"344,349",$5.32M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",R
115,Scarface,1983,170 min,"Crime, Drama            ",8.3,65,"814,460",$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",R
116,Star Wars: Episode VI - Return of the Jedi,1983,131 min,"Action, Adventure, Fantasy            ",8.3,58,"1,026,482",$309.13M,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",PG
117,The Sting,1973,129 min,"Comedy, Crime, Drama            ",8.3,83,"258,243",$159.60M,Two grifters team up to pull off the ultimate con.,PG
118,A Clockwork Orange,1971,136 min,"Crime, Sci-Fi            ",8.3,77,"812,444",$6.21M,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",R
119,2001: A Space Odyssey,1968,149 min,"Adventure, Sci-Fi            ",8.3,84,"653,872",$56.95M,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",G
120,To Kill a Mockingbird,1962,129 min,"Crime, Drama            ",8.3,88,"312,557",#109,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",Approved
121,Lawrence of Arabia,1962,218 min,"Adventure, Biography, Drama            ",8.3,100,"288,981",$44.82M,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Approved
122,Judgment at Nuremberg,1961,179 min,"Drama, War            ",8.3,60,"76,607",#136,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Approved
123,The Apartment,1960,125 min,"Comedy, Drama, Romance            ",8.3,94,"178,786",$18.60M,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Approved
124,North by Northwest,1959,136 min,"Action, Adventure, Mystery            ",8.3,98,"322,521",$13.28M,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Approved
125,Vertigo,1958,128 min,"Mystery, Romance, Thriller            ",8.3,100,"395,554",$3.20M,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",PG
126,Pather Panchali,1955,125 min,Drama            ,8.3,None,"31,855",$0.54M,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Not Rated
127,Singin' in the Rain,1952,103 min,"Comedy, Musical, Romance            ",8.3,99,"238,065",$8.82M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,G
128,Ikiru,1952,143 min,Drama            ,8.3,91,"77,072",$0.06M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Not Rated
129,Bicycle Thieves,1948,89 min,Drama            ,8.3,None,"161,240",$0.33M,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Not Rated
130,Double Indemnity,1944,107 min,"Crime, Drama, Film-Noir            ",8.3,95,"154,822",$5.72M,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",Passed
131,Citizen Kane,1941,119 min,"Drama, Mystery            ",8.3,100,"435,530",$1.59M,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",PG
