,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Metascore,Votes,Gross collection,Description,Certificate
843,The Muppet Christmas Carol,1992,85 min,"Comedy, Drama, Family            ",7.7,64,"57,679",$27.28M,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,G
844,Malcolm X,1992,202 min,"Biography, Drama, History            ",7.7,73,"93,574",$48.17M,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",PG-13
845,The Last of the Mohicans,1992,112 min,"Action, Adventure, Drama            ",7.7,76,"166,615",$75.51M,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,R
846,Hard Boiled,1992,128 min,"Action, Crime, Thriller            ",7.7,None,"50,155",None,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,R
847,Porco Rosso,1992,94 min,"Animation, Adventure, Comedy            ",7.7,83,"87,671",None,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.",PG
848,Glengarry Glen Ross,1992,100 min,"Crime, Drama, Mystery            ",7.7,82,"104,089",$10.73M,An examination of the machinations behind the scenes at a real estate office.,R
849,A Few Good Men,1992,138 min,"Drama, Thriller            ",7.7,62,"258,701",$141.34M,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,R
850,Night on Earth,1991,129 min,"Comedy, Drama            ",7.7,68,"60,067",$2.02M,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,R
851,Fried Green Tomatoes,1991,130 min,Drama            ,7.7,64,"73,908",$82.42M,A housewife who is unhappy with her life befriends an old lady at a nursing home and is enthralled by the tales she tells of people she used to know.,PG-13
852,The Double Life of Véronique,1991,98 min,"Drama, Fantasy, Music            ",7.7,86,"47,982",$2.00M,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.",R
853,Dreams,1990,119 min,"Drama, Fantasy            ",7.7,None,"26,227",$1.96M,A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.,PG
854,Miller's Crossing,1990,115 min,"Crime, Drama, Thriller            ",7.7,66,"134,243",$5.08M,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",R
855,Home Alone,1990,103 min,"Comedy, Family            ",7.7,63,"554,176",$285.76M,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,PG
856,When Harry Met Sally...,1989,95 min,"Comedy, Drama, Romance            ",7.7,76,"214,856",$92.82M,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",R
857,Who Framed Roger Rabbit,1988,104 min,"Animation, Adventure, Comedy            ",7.7,83,"197,847",$156.45M,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,PG
858,The Vanishing,1988,107 min,"Mystery, Thriller            ",7.7,None,"38,414",None,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",Not Rated
859,The Last Emperor,1987,163 min,"Biography, Drama, History            ",7.7,76,"102,092",$43.98M,The story of the final Emperor of China.,PG-13
